Rank,Name,Position,Team,Weekly Salary
1,Cristiano Ronaldo ,Forward,MUFC,"£515,385"
2,Kevin De Bruyne ,Midfielder,MCFC,"£400,000"
3,David De Gea ,Goalkeeper,MUFC,"£375,000"
4,Jadon Sancho ,Forward,MUFC,"£350,000"
5,Raphael Varane ,Defender,MUFC,"£340,000"
6,Romelu Lukaku ,Forward,CFC,"£325,000"
7,Jack Grealish ,Midfielder,MCFC,"£300,000"
,Raheem Sterling ,Forward,MCFC,"£300,000"
9,N'Golo Kante ,Midfielder,CFC,"£290,000"
,Paul Pogba ,Midfielder,MUFC,"£290,000"
11,Timo Werner ,Forward,CFC,"£272,000"
12,John Stones ,Defender,MCFC,"£250,000"
,Edinson Cavani ,Forward,MUFC,"£250,000"
14,Virgil Van Dijk ,Defender,LFC,"£220,000"
15,Thomas Partey ,Midfielder,AFC,"£200,000"
,Thiago Alcántara do Nascimento ,Midfielder,LFC,"£200,000"
,Mohamed Salah ,Forward,LFC,"£200,000"
,Marcus Rashford ,Forward,MUFC,"£200,000"
,Harry Kane ,Forward,THFC,"£200,000"
20,Saul Niguez ,Midfielder,CFC,"£198,269"
21,Heung-Min Son ,Forward,THFC,"£192,000"
22,Ben Chilwell ,Defender,CFC,"£190,000"
23,Harry Maguire ,Defender,MUFC,"£189,904"
24,Alexandre Lacazette ,Forward,AFC,"£182,063"
25,Trent Alexander-Arnold ,Defender,LFC,"£180,000"
,Roberto Firmino ,Forward,LFC,"£180,000"
,Fabinho Tavares ,Midfielder,LFC,"£180,000"
,Bruno Fernandes ,Midfielder,MUFC,"£180,000"
29,Cristian Romero ,Defender,THFC,"£165,000"
30,Ruben Dias ,Defender,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
32,Kepa Arrizabalaga ,Goalkeeper,CFC,"£150,000"
,César Azpilicueta ,Defender,CFC,"£150,000"
,Kai Havertz ,Midfielder,CFC,"£150,000"
,Mateo Kovacic ,Midfielder,CFC,"£150,000"
,Christian Pulisic ,Forward,CFC,"£150,000"
,Alisson Becker ,Goalkeeper,LFC,"£150,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£150,000"
,Bernardo Silva ,Midfielder,MCFC,"£150,000"
,Luke Shaw ,Defender,MUFC,"£150,000"
41,Nicolas Pepe ,Forward,AFC,"£140,000"
,Jamie Vardy ,Forward,LC,"£140,000"
,Jordan Henderson ,Midfielder,LFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
46,Wilfried Zaha ,Forward,CP,"£130,000"
,Kasper Schmeichel ,Goalkeeper,LC,"£130,000"
48,Rodrigo Hernández Cascante ,Midfielder,MCFC,"£121,154"
49,Ben White ,Defender,AFC,"£120,000"
,Danny Ings ,Forward,AVFC,"£120,000"
,Emiliano Martinez ,Goalkeeper,AVFC,"£120,000"
,Callum Hudson-Odoi ,Forward,CFC,"£120,000"
,Malang Sarr ,Defender,CFC,"£120,000"
,Christian Benteke ,Forward,CP,"£120,000"
