Rank,Name,Position,Team,Weekly Salary
1,Fernando Torres ,Forward,CFC,"£340,362"
2,Wayne Rooney ,Forward,MUFC,"£300,000"
3,Sergio Aguero ,Forward,MCFC,"£220,000"
,Yaya Toure ,Midfielder,MCFC,"£220,000"
5,Diego Costa ,Forward,CFC,"£185,000"
6,David Silva ,Midfielder,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
8,Lukas Podolski ,Forward,AFC,"£157,769"
9,Cesc Fàbregas ,Midfielder,CFC,"£156,000"
10,André Schurrle ,Forward,CFC,"£152,623"
11,Oscar,Midfielder,CFC,"£152,255"
12,Eden Hazard ,Midfielder,CFC,"£150,000"
,Vincent Kompany ,Defender,MCFC,"£150,000"
,Samir Nasri ,Forward,MCFC,"£150,000"
15,Mesut Ozil ,Midfielder,AFC,"£140,000"
,Alexis Sanchez ,Forward,AFC,"£140,000"
17,Darren Bent ,Forward,AVFC,"£137,769"
18,Demba Ba ,Forward,CFC,"£137,276"
19,Daniel Sturridge ,Forward,LFC,"£130,000"
20,Mikel Arteta ,Midfielder,AFC,"£125,769"
21,Danny Welbeck ,Forward,AFC,"£125,000"
22,Petr Cech ,Goalkeeper,CFC,"£120,000"
,Thibaut Courtois ,Goalkeeper,CFC,"£120,000"
24,Joe Hart ,Goalkeeper,MCFC,"£116,000"
25,Ander Herrera ,Midfielder,MUFC,"£115,000"
26,Aaron Ramsey ,Midfielder,AFC,"£110,000"
,Marcos Rojo ,Defender,MUFC,"£110,000"
,Luke Shaw ,Defender,MUFC,"£110,000"
29,Wojciech Szczesny ,Goalkeeper,AFC,"£100,000"
,Theo Walcott ,Forward,AFC,"£100,000"
,Wilfried Bony ,Forward,MCFC,"£100,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£100,000"
,Eliaquim Mangala ,Defender,MCFC,"£100,000"
,Fernando Reges ,Midfielder,MCFC,"£100,000"
35,Jack Wilshere ,Midfielder,AFC,"£90,000"
,Gary Cahill ,Defender,CFC,"£90,000"
,Nemanja Matic ,Midfielder,CFC,"£90,000"
,Loic Remy ,Forward,CFC,"£90,000"
,Andy Carroll ,Forward,WHUFC,"£90,000"
40,Willian da Silva ,Midfielder,CFC,"£85,000"
,Antonio Valencia ,Defender,MUFC,"£85,000"
42,Santi Cazorla ,Midfielder,AFC,"£80,000"
,Olivier Giroud ,Forward,AFC,"£80,000"
,Aaron Ramsey ,Midfielder,AFC,"£80,000"
,Romelu Lukaku ,Forward,EFC,"£80,000"
,Marouane Fellaini ,Midfielder,MUFC,"£80,000"
,Erik Lamela ,Midfielder,THFC,"£80,000"
48,Mohamed Salah ,Forward,CFC,"£77,306"
49,Charles  N'Zogbia ,Midfielder,AVFC,"£76,538"
50,John Mikel Obi ,Midfielder,CFC,"£75,155"
51,Mathieu Debuchy ,Defender,AFC,"£75,000"
,Tomas Rosicky ,Midfielder,AFC,"£75,000"
,Branislav Ivanovic ,Defender,CFC,"£75,000"
,Lucas Leiva ,Midfielder,LFC,"£75,000"
,Daley Blind ,Defender,MUFC,"£75,000"
,David De Gea ,Goalkeeper,MUFC,"£75,000"
57,Thomas Vermaelen ,Defender,AFC,"£70,047"
58,Jermain Defoe ,Forward,SUFC,"£70,000"
59,Aleksandar Kolarov ,Defender,MCFC,"£69,000"
60,Romelu Lukaku ,Forward,CFC,"£68,638"
61,Per Mertesacker ,Defender,AFC,"£65,000"
,Alex Oxlade-Chamberlain ,Midfielder,AFC,"£65,000"
,Adam Lallana ,Midfielder,LFC,"£65,000"
,Dejan Lovren ,Defender,LFC,"£65,000"
,Mame Diouf ,Forward,SCFC,"£65,000"
66,Marko Marin ,Midfielder,CFC,"£62,149"
67,Leighton Baines ,Defender,EFC,"£60,923"
68,Ramires Santos do Nascimento ,Midfielder,CFC,"£60,124"
69,Abou Diaby ,Midfielder,AFC,"£60,000"
,Laurent Koscielny ,Defender,AFC,"£60,000"
,Christian Benteke ,Forward,AVFC,"£60,000"
,César Azpilicueta ,Defender,CFC,"£60,000"
,Thibaut Courtois ,Goalkeeper,CFC,"£60,000"
,Adnan Januzaj ,Forward,MUFC,"£60,000"
,Winston Reid ,Defender,WHUFC,"£60,000"
76,Oriol Romeu ,Midfielder,CFC,"£54,222"
77,Libor Kozak ,Forward,AVFC,"£53,365"
78,Philippe Coutinho ,Midfielder,LFC,"£52,500"
79,Fabian Delph ,Midfielder,AVFC,"£51,479"
80,Brad Guzan ,Goalkeeper,AVFC,"£51,407"
81,John Djourou ,Defender,AFC,"£50,034"
82,Hector Bellerin ,Defender,AFC,"£50,000"
,Nacho Monreal ,Defender,AFC,"£50,000"
,Gabriel Agbonlahor ,Forward,AVFC,"£50,000"
,Victor Moses ,Defender,CFC,"£50,000"
,Tim Krul ,Goalkeeper,NUFC,"£50,000"
,Harry Kane ,Forward,THFC,"£50,000"
,Mark Noble ,Midfielder,WHUFC,"£50,000"
89,Alan Hutton ,Defender,AVFC,"£49,038"
90,Ross Barkley ,Midfielder,EFC,"£48,000"
91,Ron Vlaar ,Defender,AVFC,"£46,410"
92,Kieran Gibbs ,Defender,AFC,"£46,000"
93,Calum Chambers ,Defender,AFC,"£45,000"
,Kevin Mirallas ,Forward,EFC,"£45,000"
,Danny Drinkwater ,Midfielder,LC,"£45,000"
,Emre Can ,Midfielder,LFC,"£45,000"
,Ryan Shawcross ,Defender,SCFC,"£45,000"
,Federico Fazio ,Defender,THFC,"£45,000"
99,Federico Fernandez ,Defender,SCAFC,"£43,000"
100,Andreas Andreas Weimann ,Forward,AVFC,"£42,899"
,Gael Kakuta ,Forward,CFC,"£42,899"
102,Kurt Zouma ,Defender,CFC,"£42,308"
103,Aiden McGeady ,Forward,EFC,"£42,000"
104,Ryan Bertrand ,Defender,CFC,"£40,083"
105,David Ospina ,Goalkeeper,AFC,"£40,000"
,Alberto Moreno ,Defender,LFC,"£40,000"
,Siem de Jong ,Midfielder,NUFC,"£40,000"
,Enner Valencia ,Forward,WHUFC,"£40,000"
109,Jores Okore ,Defender,AVFC,"£39,904"
110,Seamus Coleman ,Defender,EFC,"£38,000"
111,Shay Given ,Goalkeeper,AVFC,"£37,692"
112,Sung-Yeung Ki ,Midfielder,SCAFC,"£36,000"
,Wayne Routledge ,Midfielder,SCAFC,"£36,000"
114,Andrew Surman ,Midfielder,BOU,"£35,000"
,Fraizer Campbell ,Forward,CP,"£35,000"
,Lazar Markovic ,Forward,LFC,"£35,000"
,Vurnon Anita ,Defender,NUFC,"£35,000"
,Jack Colback ,Midfielder,NUFC,"£35,000"
,Yoan Gouffran ,Midfielder,NUFC,"£35,000"
,Emmanuel Rivière ,Forward,NUFC,"£35,000"
,Jack Cork ,Midfielder,SCAFC,"£35,000"
122,Stephen Ireland ,Midfielder,SCFC,"£33,000"
123,Kyle Naughton ,Defender,SCAFC,"£32,000"
124,Phil Bardsley ,Defender,SCFC,"£31,000"
125,Karim El Ahmadi ,Midfielder,AVFC,"£30,769"
126,Josh McEachran ,Midfielder,CFC,"£30,062"
127,Joel Campbell ,Forward,AFC,"£30,000"
,Francis Coquelin ,Midfielder,AFC,"£30,000"
,Carl Jenkinson ,Defender,AFC,"£30,000"
,Andreas Weimann ,Forward,AVFC,"£30,000"
,Raheem Sterling ,Forward,LFC,"£30,000"
,Florin Gardos ,Defender,SFC,"£30,000"
,Diafra Sakho ,Forward,WHUFC,"£30,000"
134,Joe Bennett ,Defender,AVFC,"£28,317"
135,Jordon Mutch ,Midfielder,CP,"£28,000"
,Maya Yoshida ,Defender,SFC,"£28,000"
,Callum McManaman ,Forward,WBAFC,"£28,000"
138,Leonardo Ulloa ,Forward,LC,"£27,000"
139,Toni Luna ,Defender,AVFC,"£26,282"
140,Ashley Westwood ,Midfielder,AVFC,"£25,739"
141,Martin Kelly ,Defender,CP,"£25,000"
,Joe Ledley ,Midfielder,CP,"£25,000"
,Chung-Yong Lee ,Forward,CP,"£25,000"
,Muhamed Besic ,Midfielder,EFC,"£25,000"
,Arouna Kone ,Forward,EFC,"£25,000"
,James McCarthy ,Midfielder,EFC,"£25,000"
,Matty James ,Midfielder,LC,"£25,000"
,Bruno Zuculini ,Midfielder,MCFC,"£25,000"
,Karl Darlow ,Goalkeeper,NUFC,"£25,000"
,Dele Alli ,Midfielder,THFC,"£25,000"
151,Aleksandar Tonev ,Midfielder,AVFC,"£23,558"
152,Mario Pasalic ,Midfielder,CFC,"£23,000"
,Brendan Galloway ,Defender,EFC,"£23,000"
154,Michael Keane ,Defender,BFC,"£22,000"
155,Joe Cole ,Midfielder,AVFC,"£21,154"
156,Leandro Bacuna ,Midfielder,AVFC,"£20,641"
157,Yacouba Sylla ,Midfielder,AVFC,"£20,144"
158,Nathan Ake ,Defender,CFC,"£20,041"
159,Serge Gnabry ,Forward,AFC,"£20,025"
160,Dan Gosling ,Midfielder,BOU,"£20,000"
,Chuba Akpom ,Forward,AFC,"£20,000"
,Yaya Sanogo ,Forward,AFC,"£20,000"
,George Boyd ,Midfielder,BFC,"£20,000"
,Lewis Baker ,Midfielder,CFC,"£20,000"
,Isaiah Brown ,Forward,CFC,"£20,000"
,Kenneth Omeruo ,Defender,CFC,"£20,000"
,Zeki Fryers ,Defender,CP,"£20,000"
,Wayne Hennessey ,Goalkeeper,CP,"£20,000"
,Joel Robles ,Goalkeeper,EFC,"£20,000"
,Andreas Pereira ,Midfielder,MUFC,"£20,000"
,Paul Dummett ,Defender,NUFC,"£20,000"
,Massadio Haidara ,Defender,NUFC,"£20,000"
,Asmir Begovic ,Goalkeeper,SCFC,"£20,000"
174,Ryo Miyaichi ,Forward,AFC,"£15,000"
,Ciaran Clark ,Defender,AVFC,"£15,000"
,Matthew Lowton ,Defender,AVFC,"£15,000"
,David Stockdale ,Goalkeeper,BHA,"£15,000"
,Jonny Williams ,Midfielder,CP,"£15,000"
,Jamaal Lascelles ,Defender,NUFC,"£15,000"
,Lewis Grabban ,Forward,NCFC,"£15,000"
,Kyle Bartley ,Defender,SCAFC,"£15,000"
,Juan Carlos Paredes ,Defender,WAT,"£15,000"
,Doneil Henry ,Defender,WHUFC,"£15,000"
184,Charlie Daniels ,Defender,BOU,"£13,000"
185,Graham Burke ,Forward,AVFC,"£12,940"
186,Samir Carruthers ,Midfielder,AVFC,"£12,330"
187,Mark Schwarzer ,Goalkeeper,CFC,"£12,025"
