Rank,Name,Position,Team,Weekly Salary
1,Paul Pogba ,Midfielder,MUFC,"£290,000"
2,Eden Hazard ,Midfielder,CFC,"£225,000"
3,Sergio Aguero ,Forward,MCFC,"£220,000"
,Yaya Toure ,Midfielder,MCFC,"£220,000"
5,David De Gea ,Goalkeeper,MUFC,"£200,000"
6,Alexandre Lacazette ,Forward,AFC,"£182,063"
7,Romelu Lukaku ,Forward,MUFC,"£180,000"
8,Mesut Ozil ,Midfielder,AFC,"£175,000"
,Kevin De Bruyne ,Midfielder,MCFC,"£175,000"
,Alexis Sanchez ,Forward,MUFC,"£175,000"
11,Alvaro Morata ,Forward,CFC,"£170,000"
12,Wayne Rooney ,Forward,EFC,"£160,000"
,David Silva ,Midfielder,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
15,Cesc Fàbregas ,Midfielder,CFC,"£156,000"
16,Vincent Kompany ,Defender,MCFC,"£150,000"
,Raheem Sterling ,Forward,MCFC,"£150,000"
18,Alexis Sanchez ,Forward,AFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
,Javier Chicharito Hernandez ,Forward,WHUFC,"£140,000"
22,Willian da Silva ,Midfielder,CFC,"£138,462"
23,Daniel Sturridge (on loan from ) ,Forward,LFC,"£130,000"
24,Danny Welbeck ,Forward,AFC,"£125,000"
25,Henrikh Mkhitaryan ,Midfielder,AFC,"£120,000"
,Aaron Ramsey ,Midfielder,AFC,"£120,000"
,Thibaut Courtois ,Goalkeeper,CFC,"£120,000"
,Danny Drinkwater ,Midfielder,CFC,"£120,000"
,N'Golo Kante ,Midfielder,CFC,"£120,000"
,David Luiz ,Defender,CFC,"£120,000"
,Christian Benteke ,Forward,CP,"£120,000"
,Alex Oxlade-Chamberlain ,Midfielder,LFC,"£120,000"
,Mohamed Salah ,Forward,LFC,"£120,000"
,Nicolas Otamendi ,Defender,MCFC,"£120,000"
,Bernardo Silva ,Forward,MCFC,"£120,000"
,Victor Lindelof ,Defender,MUFC,"£120,000"
,Nemanja Matic ,Midfielder,MUFC,"£120,000"
,Ashley Young ,Midfielder,MUFC,"£120,000"
39,Sead Kolasinac ,Defender,AFC,"£119,500"
40,Joe Hart (on loan from ) ,Goalkeeper,MCFC,"£116,000"
41,Ander Herrera ,Midfielder,MUFC,"£115,000"
42,Tiemoué Bakayoko ,Midfielder,CFC,"£110,000"
,Anthony Martial ,Forward,MUFC,"£110,000"
,Marcos Rojo ,Defender,MUFC,"£110,000"
,Luke Shaw ,Defender,MUFC,"£110,000"
46,Jermain Defoe ,Forward,BOU,"£103,462"
47,Hector Bellerin ,Defender,AFC,"£100,000"
,Santi Cazorla ,Midfielder,AFC,"£100,000"
,Petr Cech ,Goalkeeper,AFC,"£100,000"
,César Azpilicueta ,Defender,CFC,"£100,000"
,Gary Cahill ,Defender,CFC,"£100,000"
,Pedro Rodríguez Ledesma ,Midfielder,CFC,"£100,000"
,Antonio Rudiger ,Defender,CFC,"£100,000"
,Mamadou Sakho ,Defender,CP,"£100,000"
,Wilfried Zaha ,Forward,CP,"£100,000"
,Morgan Schneiderlin ,Midfielder,EFC,"£100,000"
,Gylfi Sigurdsson ,Midfielder,EFC,"£100,000"
,Riyad Mahrez ,Forward,LC,"£100,000"
,Jamie Vardy ,Forward,LC,"£100,000"
,Roberto Firmino ,Forward,LFC,"£100,000"
,Jordan Henderson ,Midfielder,LFC,"£100,000"
,Dejan Lovren ,Defender,LFC,"£100,000"
,Joel Matip ,Defender,LFC,"£100,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£100,000"
,Eliaquim Mangala (on loan from ) ,Defender,MCFC,"£100,000"
,John Stones ,Defender,MCFC,"£100,000"
,Kyle Walker ,Defender,MCFC,"£100,000"
,Harry Kane ,Forward,THFC,"£100,000"
,Hugo Lloris ,Goalkeeper,THFC,"£100,000"
,Jan Vertonghen ,Defender,THFC,"£100,000"
,Marko Arnautovic ,Midfielder,WHUFC,"£100,000"
72,Pierre-Emerick Aubameyang ,Forward,AFC,"£90,000"
,Laurent Koscielny ,Defender,AFC,"£90,000"
,Per Mertesacker ,Defender,AFC,"£90,000"
,Shkodran Mustafi ,Defender,AFC,"£90,000"
,Jack Wilshere ,Midfielder,AFC,"£90,000"
,Granit Xhaka ,Midfielder,AFC,"£90,000"
,Marcos Alonso ,Defender,CFC,"£90,000"
,Sadio Mane ,Forward,LFC,"£90,000"
,Virgil Van Dijk ,Defender,LFC,"£90,000"
,Georginio Wijnaldum ,Midfielder,LFC,"£90,000"
,Benjamin Mendy ,Defender,MCFC,"£90,000"
,Leroy Sane ,Forward,MCFC,"£90,000"
,Marouane Fellaini ,Midfielder,MUFC,"£90,000"
,Wilfried Bony ,Forward,SCAFC,"£90,000"
,Andy Carroll ,Forward,WHUFC,"£90,000"
87,Yohan Cabaye ,Midfielder,CP,"£86,000"
88,Antonio Valencia ,Defender,MUFC,"£85,000"
,Heung-Min Son ,Forward,THFC,"£85,000"
90,Grzegorz Krychowiak ,Midfielder,WBAFC,"£82,000"
91,Kasper Schmeichel ,Goalkeeper,LC,"£80,000"
,Adrien Silva ,Midfielder,LC,"£80,000"
,Claudio Bravo ,Goalkeeper,MCFC,"£80,000"
,Danilo Luiz da Silva ,Defender,MCFC,"£80,000"
,Fabian Delph ,Midfielder,MCFC,"£80,000"
,Eric Bailly ,Defender,MUFC,"£80,000"
,Michael Carrick ,Midfielder,MUFC,"£80,000"
,Manolo Gabbiadini ,Forward,SFC,"£80,000"
,Saido Berahino ,Forward,SCFC,"£80,000"
,Toby Alderweireld ,Defender,THFC,"£80,000"
,Erik Lamela ,Midfielder,THFC,"£80,000"
,Moussa Sissoko ,Midfielder,THFC,"£80,000"
103,Mathieu Debuchy ,Defender,AFC,"£75,000"
,Victor Moses ,Defender,CFC,"£75,000"
,Yannick Bolasie ,Forward,EFC,"£75,000"
,Danny Ings ,Forward,LFC,"£75,000"
,Gabriel Jesus ,Forward,MCFC,"£75,000"
,Daley Blind ,Defender,MUFC,"£75,000"
,Phil Jones ,Defender,MUFC,"£75,000"
,Jesse Lingard ,Forward,MUFC,"£75,000"
,Christian Eriksen ,Midfielder,THFC,"£75,000"
,Fernando Llorente ,Forward,THFC,"£75,000"
,Jose Fonte ,Defender,WHUFC,"£75,000"
,Pablo Zabaleta ,Defender,WHUFC,"£75,000"
115,Asmir Begovic ,Goalkeeper,BOU,"£70,000"
,Davide Zappacosta ,Defender,CFC,"£70,000"
,Leighton Baines ,Defender,EFC,"£70,000"
,Davy Klaassen ,Midfielder,EFC,"£70,000"
,Ashley Williams ,Defender,EFC,"£70,000"
