Rank,Name,Position,Team,Weekly Salary
1,Wayne Rooney ,Forward,MUFC,"£300,000"
2,Paul Pogba ,Midfielder,MUFC,"£290,000"
3,Eden Hazard ,Midfielder,CFC,"£225,000"
4,Sergio Aguero ,Forward,MCFC,"£220,000"
,Yaya Toure ,Midfielder,MCFC,"£220,000"
,Zlatan Ibrahimovic ,Forward,MUFC,"£220,000"
7,David De Gea ,Goalkeeper,MUFC,"£200,000"
8,Diego Costa ,Forward,CFC,"£185,000"
9,David Silva ,Midfielder,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
11,Cesc Fàbregas ,Midfielder,CFC,"£156,000"
12,Oscar,Midfielder,CFC,"£152,255"
13,John Terry ,Defender,CFC,"£150,000"
,Philippe Coutinho ,Midfielder,LFC,"£150,000"
,Kevin De Bruyne ,Midfielder,MCFC,"£150,000"
,Vincent Kompany ,Defender,MCFC,"£150,000"
,Raheem Sterling ,Forward,MCFC,"£150,000"
18,Branislav Ivanovic ,Defender,CFC,"£143,846"
19,Mesut Ozil ,Midfielder,AFC,"£140,000"
,Alexis Sanchez ,Forward,AFC,"£140,000"
,Theo Walcott ,Forward,AFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
24,Willian da Silva ,Midfielder,CFC,"£138,462"
25,Daniel Sturridge ,Forward,LFC,"£130,000"
26,Danny Welbeck ,Forward,AFC,"£125,000"
27,Thibaut Courtois ,Goalkeeper,CFC,"£120,000"
,N'Golo Kante ,Midfielder,CFC,"£120,000"
,David Luiz ,Defender,CFC,"£120,000"
,Christian Benteke ,Forward,CP,"£120,000"
,Nicolas Otamendi ,Defender,MCFC,"£120,000"
,Henrikh Mkhitaryan ,Midfielder,MUFC,"£120,000"
,Ashley Young ,Midfielder,MUFC,"£120,000"
34,Ander Herrera ,Midfielder,MUFC,"£115,000"
35,Aaron Ramsey ,Midfielder,AFC,"£110,000"
,Anthony Martial ,Forward,MUFC,"£110,000"
,Marcos Rojo ,Defender,MUFC,"£110,000"
,Luke Shaw ,Defender,MUFC,"£110,000"
39,Santi Cazorla ,Midfielder,AFC,"£100,000"
,Petr Cech ,Goalkeeper,AFC,"£100,000"
,César Azpilicueta ,Defender,CFC,"£100,000"
,Gary Cahill ,Defender,CFC,"£100,000"
,Pedro Rodríguez Ledesma ,Midfielder,CFC,"£100,000"
,Morgan Schneiderlin ,Midfielder,EFC,"£100,000"
,Riyad Mahrez ,Forward,LC,"£100,000"
,Jamie Vardy ,Forward,LC,"£100,000"
,Roberto Firmino ,Forward,LFC,"£100,000"
,Jordan Henderson ,Midfielder,LFC,"£100,000"
,Joel Matip ,Defender,LFC,"£100,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£100,000"
,Fernando Reges ,Midfielder,MCFC,"£100,000"
,John Stones ,Defender,MCFC,"£100,000"
,Harry Kane ,Forward,THFC,"£100,000"
,Hugo Lloris ,Goalkeeper,THFC,"£100,000"
