Rank,Name,Position,Team,Weekly Salary
1,Gareth Bale ,Forward,THFC,"£600,000"
2,Kevin De Bruyne ,Midfielder,MCFC,"£400,000"
3,David De Gea ,Goalkeeper,MUFC,"£375,000"
4,Raheem Sterling ,Forward,MCFC,"£300,000"
5,N'Golo Kante ,Midfielder,CFC,"£290,000"
,Paul Pogba ,Midfielder,MUFC,"£290,000"
7,Timo Werner ,Forward,CFC,"£272,000"
8,Pierre-Emerick Aubameyang ,Forward,AFC,"£250,000"
,Edinson Cavani ,Forward,MUFC,"£250,000"
,Anthony Martial ,Forward,MUFC,"£250,000"
11,Sergio Aguero ,Forward,MCFC,"£230,135"
12,Thomas Partey ,Midfielder,AFC,"£200,000"
,Thiago Alcántara do Nascimento ,Midfielder,LFC,"£200,000"
,Mohamed Salah ,Forward,LFC,"£200,000"
,Marcus Rashford ,Forward,MUFC,"£200,000"
,Harry Kane ,Forward,THFC,"£200,000"
,Tanguy Ndombele ,Midfielder,THFC,"£200,000"
18,Willian da Silva ,Forward,AFC,"£192,308"
19,Ben Chilwell ,Defender,CFC,"£190,000"
20,Harry Maguire ,Defender,MUFC,"£189,904"
21,Alexandre Lacazette ,Forward,AFC,"£182,063"
22,Roberto Firmino ,Forward,LFC,"£180,000"
,Virgil Van Dijk ,Defender,LFC,"£180,000"
,Bruno Fernandes ,Midfielder,MUFC,"£180,000"
25,Ruben Dias ,Defender,MCFC,"£160,000"
,Juan Mata ,Midfielder,MUFC,"£160,000"
27,Kepa Arrizabalaga ,Goalkeeper,CFC,"£150,000"
,César Azpilicueta ,Defender,CFC,"£150,000"
,Kai Havertz ,Midfielder,CFC,"£150,000"
,Mateo Kovacic ,Midfielder,CFC,"£150,000"
,Christian Pulisic ,Forward,CFC,"£150,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£150,000"
,Bernardo Silva ,Midfielder,MCFC,"£150,000"
,Luke Shaw ,Defender,MUFC,"£150,000"
35,Jamie Vardy ,Forward,LC,"£140,000"
,Jordan Henderson ,Midfielder,LFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
,Heung-Min Son ,Forward,THFC,"£140,000"
40,Wilfried Zaha ,Forward,CP,"£130,000"
,Kasper Schmeichel ,Goalkeeper,LC,"£130,000"
42,Rodrigo Hernández Cascante ,Midfielder,MCFC,"£121,154"
43,Jack Grealish ,Midfielder,AVFC,"£120,000"
,Callum Hudson-Odoi ,Forward,CFC,"£120,000"
,Christian Benteke ,Forward,CP,"£120,000"
,Bernard Anicio Caldeira Duarte ,Forward,EFC,"£120,000"
,Yerry Mina ,Defender,EFC,"£120,000"
,Naby Keita ,Midfielder,LFC,"£120,000"
,Alex Oxlade-Chamberlain ,Midfielder,LFC,"£120,000"
,Aymeric Laporte ,Defender,MCFC,"£120,000"
,Riyad Mahrez ,Midfielder,MCFC,"£120,000"
,Frederico de Paula Santos ,Midfielder,MUFC,"£120,000"
,Victor Lindelof ,Defender,MUFC,"£120,000"
,Nemanja Matic ,Midfielder,MUFC,"£120,000"
,Donny van de Beek ,Midfielder,MUFC,"£120,000"
56,Lucas Digne ,Defender,EFC,"£119,000"
57,Sebastien Haller ,Forward,WHUFC,"£115,385"
58,Andriy Yarmolenko ,Forward,WHUFC,"£115,000"
59,Andre Gomes ,Midfielder,EFC,"£112,212"
60,Hector Bellerin ,Defender,AFC,"£110,000"
,Jorge Luiz Frello Filho ,Midfielder,CFC,"£110,000"
,Olivier Giroud ,Forward,CFC,"£110,000"
,Thiago Silva ,Defender,CFC,"£110,000"
,James Maddison ,Midfielder,LC,"£110,000"
,Kyle Walker ,Defender,MCFC,"£110,000"
66,Pierre-Emile Hojbjerg ,Midfielder,THFC,"£101,923"
67,David Luiz ,Defender,AFC,"£100,962"
68,Odion Ighalo ,Forward,MUFC,"£100,769"
69,Sead Kolasinac ,Defender,AFC,"£100,000"
,Bernd Leno ,Goalkeeper,AFC,"£100,000"
,Nicolas Pepe ,Forward,AFC,"£100,000"
,Granit Xhaka ,Midfielder,AFC,"£100,000"
,Marcos Alonso ,Defender,CFC,"£100,000"
,Antonio Rudiger ,Defender,CFC,"£100,000"
,Hakim Ziyech ,Midfielder,CFC,"£100,000"
,Mamadou Sakho ,Defender,CP,"£100,000"
,Jordan Pickford ,Goalkeeper,EFC,"£100,000"
,Gylfi Sigurdsson ,Midfielder,EFC,"£100,000"
,Rodrigo Machado ,Forward,LUFC,"£100,000"
,Sadio Mane ,Forward,LFC,"£100,000"
,Joel Matip ,Defender,LFC,"£100,000"
,Fabinho Tavares ,Midfielder,LFC,"£100,000"
,John Stones ,Defender,MCFC,"£100,000"
,Dean Henderson ,Goalkeeper,MUFC,"£100,000"
,Dele Alli ,Midfielder,THFC,"£100,000"
,Hugo Lloris ,Goalkeeper,THFC,"£100,000"
,Jose Moutinho ,Midfielder,WWFC,"£100,000"
,Rui Patricio ,Goalkeeper,WWFC,"£100,000"
89,Ross Barkley (on loan from ) ,Midfielder,CFC,"£96,154"
90,Cengiz Ünder ,Midfielder,LC,"£94,231"
91,Alex Telles ,Defender,MUFC,"£93,077"
92,Nathan Ake ,Defender,MCFC,"£92,308"
93,Adam Lallana ,Midfielder,BHA,"£90,385"
,Diogo Jota ,Forward,LFC,"£90,385"
