Rank,Name,Position,Team,Weekly Salary
1,David De Gea ,Goalkeeper,MUFC,"£375,000"
2,Mesut Ozil ,Midfielder,AFC,"£350,000"
,Kevin De Bruyne ,Midfielder,MCFC,"£350,000"
4,Raheem Sterling ,Midfielder,MCFC,"£300,000"
5,N'Golo Kante ,Midfielder,CFC,"£290,000"
,Paul Pogba ,Midfielder,MUFC,"£290,000"
7,Anthony Martial ,Forward,MUFC,"£250,000"
8,Sergio Aguero ,Forward,MCFC,"£230,135"
9,David Silva ,Midfielder,MCFC,"£220,000"
10,Pierre-Emerick Aubameyang ,Forward,AFC,"£200,000"
,Mohamed Salah ,Forward,LFC,"£200,000"
,Marcus Rashford ,Forward,MUFC,"£200,000"
,Harry Kane ,Forward,THFC,"£200,000"
,Tanguy Ndombele ,Midfielder,THFC,"£200,000"
15,Harry Maguire ,Defender,MUFC,"£189,904"
16,Alexandre Lacazette ,Forward,AFC,"£182,063"
17,Roberto Firmino ,Forward,LFC,"£180,000"
,Virgil Van Dijk ,Defender,LFC,"£180,000"
,Bruno Fernandes ,Midfielder,MUFC,"£180,000"
20,Juan Mata ,Midfielder,MUFC,"£160,000"
21,Kepa Arrizabalaga ,Goalkeeper,CFC,"£150,000"
,César Azpilicueta ,Defender,CFC,"£150,000"
,Mateo Kovacic ,Midfielder,CFC,"£150,000"
,Christian Pulisic ,Forward,CFC,"£150,000"
,Fernandinho Luis Roza ,Midfielder,MCFC,"£150,000"
,Bernardo Silva ,Midfielder,MCFC,"£150,000"
,Luke Shaw ,Defender,MUFC,"£150,000"
28,Nicolas Pepe ,Forward,AFC,"£140,000"
,Jamie Vardy ,Forward,LC,"£140,000"
,Jordan Henderson ,Midfielder,LFC,"£140,000"
,James Milner ,Midfielder,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
,Heung-Min Son ,Forward,THFC,"£140,000"
34,Willian da Silva ,Midfielder,CFC,"£138,462"
35,Wilfried Zaha ,Forward,CP,"£130,000"
,Kasper Schmeichel ,Goalkeeper,LC,"£130,000"
37,David Luiz ,Defender,AFC,"£125,673"
38,Max Meyer ,Midfielder,CP,"£125,000"
39,Rodrigo Hernández Cascante ,Midfielder,MCFC,"£121,154"
40,Danny Drinkwater (on loan from ) ,Midfielder,CFC,"£120,000"
,Callum Hudson-Odoi ,Forward,CFC,"£120,000"
,Christian Benteke ,Forward,CP,"£120,000"
,Bernard Anicio Caldeira Duarte ,Midfielder,EFC,"£120,000"
,Yerry Mina ,Defender,EFC,"£120,000"
,Naby Keita ,Midfielder,LFC,"£120,000"
,Alex Oxlade-Chamberlain ,Midfielder,LFC,"£120,000"
,Aymeric Laporte ,Defender,MCFC,"£120,000"
,Riyad Mahrez ,Forward,MCFC,"£120,000"
,Nicolas Otamendi ,Defender,MCFC,"£120,000"
,Frederico de Paula Santos ,Midfielder,MUFC,"£120,000"
,Victor Lindelof ,Defender,MUFC,"£120,000"
,Nemanja Matic ,Midfielder,MUFC,"£120,000"
53,Sebastien Haller ,Forward,WHUFC,"£115,385"
54,Andriy Yarmolenko ,Forward,WHUFC,"£115,000"
55,Andre Gomes ,Midfielder,EFC,"£112,212"
56,Hector Bellerin ,Defender,AFC,"£110,000"
,Tiemoué Bakayoko ,Midfielder,CFC,"£110,000"
,Jorge Luiz Frello Filho ,Midfielder,CFC,"£110,000"
,Olivier Giroud ,Forward,CFC,"£110,000"
,Adam Lallana ,Midfielder,LFC,"£110,000"
,Kyle Walker ,Defender,MCFC,"£110,000"
62,André Schurrle ,Forward,FFC,"£104,000"
63,Odion Ighalo ,Forward,MUFC,"£100,769"
64,Sead Kolasinac ,Defender,AFC,"£100,000"
,Bernd Leno ,Goalkeeper,AFC,"£100,000"
,Granit Xhaka ,Midfielder,AFC,"£100,000"
,Marcos Alonso ,Defender,CFC,"£100,000"
,Antonio Rudiger ,Defender,CFC,"£100,000"
,Mamadou Sakho ,Defender,CP,"£100,000"
,Wilfried Zaha (on loan from ) ,Forward,CP,"£100,000"
,Jordan Pickford ,Goalkeeper,EFC,"£100,000"
,Morgan Schneiderlin ,Midfielder,EFC,"£100,000"
,Gylfi Sigurdsson ,Midfielder,EFC,"£100,000"
,Theo Walcott ,Forward,EFC,"£100,000"
,Dejan Lovren ,Defender,LFC,"£100,000"
,Sadio Mane ,Forward,LFC,"£100,000"
,Joel Matip ,Defender,LFC,"£100,000"
,Fabinho Tavares ,Midfielder,LFC,"£100,000"
,John Stones ,Defender,MCFC,"£100,000"
,Dele Alli ,Midfielder,THFC,"£100,000"
,Hugo Lloris ,Goalkeeper,THFC,"£100,000"
,Jan Vertonghen ,Defender,THFC,"£100,000"
,Jack Wilshere ,Midfielder,WHUFC,"£100,000"
,Jose Moutinho ,Midfielder,WWFC,"£100,000"
,Rui Patricio ,Goalkeeper,WWFC,"£100,000"
86,Ross Barkley ,Midfielder,CFC,"£96,154"
87,Sokratis Papastathopoulos ,Defender,AFC,"£92,000"
88,Gabriel Martinelli ,Forward,AFC,"£90,000"
,Shkodran Mustafi ,Defender,AFC,"£90,000"
,Michy Batshuayi ,Forward,CFC,"£90,000"
,Richarlison de Andrade ,Forward,EFC,"£90,000"
,Lucas Digne ,Defender,EFC,"£90,000"
,Alisson Becker ,Goalkeeper,LFC,"£90,000"
,Georginio Wijnaldum ,Midfielder,LFC,"£90,000"
,Gabriel Jesus ,Forward,MCFC,"£90,000"
,Benjamin Mendy ,Defender,MCFC,"£90,000"
,Leroy Sane ,Forward,MCFC,"£90,000"
,Aaron Wan-Bissaka ,Defender,MUFC,"£90,000"
,Wilfried Bony ,Forward,SCAFC,"£90,000"
,Leander Dendoncker ,Midfielder,WWFC,"£90,000"
101,Joelinton Cassio Apolinário de Lira ,Forward,NUFC,"£86,538"
102,Felipe Anderson ,Midfielder,WHUFC,"£85,000"
103,Kieran Tierney ,Defender,AFC,"£80,769"
104,Andreas Christensen ,Defender,CFC,"£80,000"
,Mason Mount ,Midfielder,CFC,"£80,000"
,Fabian Delph ,Midfielder,EFC,"£80,000"
,Jonny Evans ,Defender,LC,"£80,000"
,Adrien Silva ,Midfielder,LC,"£80,000"
