Rank,Name,Position,Team,Weekly Salary
1,Kevin De Bruyne ,Midfielder,MCFC,"£400,000"
2,Erling Haaland ,Forward,MCFC,"£375,000"
,David De Gea ,Goalkeeper,MUFC,"£375,000"
4,Mohamed Salah ,Forward,LFC,"£350,000"
,Jadon Sancho ,Forward,MUFC,"£350,000"
6,Raphael Varane ,Defender,MUFC,"£340,000"
7,Raheem Sterling ,Midfielder,CFC,"£325,000"
8,Jack Grealish ,Midfielder,MCFC,"£300,000"
,Carlos Casimiro ,Midfielder,MUFC,"£300,000"
10,Kalidou Koulibaly ,Defender,CFC,"£295,000"
11,N'Golo Kante ,Midfielder,CFC,"£290,000"
12,Gabriel Jesus ,Forward,AFC,"£265,000"
13,Reece James ,Defender,CFC,"£250,000"
,John Stones ,Defender,MCFC,"£250,000"
,Anthony Martial ,Forward,MUFC,"£250,000"
16,Bruno Fernandes ,Midfielder,MUFC,"£240,000"
17,Phil Foden ,Midfielder,MCFC,"£225,000"
18,Virgil Van Dijk ,Defender,LFC,"£220,000"
,Rodrigo Hernández Cascante ,Midfielder,MCFC,"£220,000"
20,Thomas Partey ,Midfielder,AFC,"£200,000"
,Wesley Fofana ,Defender,CFC,"£200,000"
,Thiago Alcántara do Nascimento ,Midfielder,LFC,"£200,000"
,Antony dos Santo ,Forward,MUFC,"£200,000"
,Marcus Rashford ,Forward,MUFC,"£200,000"
,Jesse Lingard ,Midfielder,NFFC,"£200,000"
,Harry Kane ,Forward,THFC,"£200,000"
27,Heung-Min Son ,Forward,THFC,"£192,000"
28,Ben Chilwell ,Defender,CFC,"£190,000"
29,Harry Maguire ,Defender,MUFC,"£189,904"
30,César Azpilicueta ,Defender,CFC,"£180,000"
,Trent Alexander-Arnold ,Defender,LFC,"£180,000"
,Roberto Firmino ,Forward,LFC,"£180,000"
,Fabinho Tavares ,Midfielder,LFC,"£180,000"
,Manuel Akanji ,Defender,MCFC,"£180,000"
,Ruben Dias ,Defender,MCFC,"£180,000"
36,Ivan Perisic ,Midfielder,THFC,"£178,269"
37,Marc Cucurella ,Midfielder,CFC,"£175,000"
38,Cristian Romero ,Defender,THFC,"£165,000"
39,Lucas Digne ,Defender,AVFC,"£163,462"
40,Pierre-Emerick Aubameyang ,Forward,CFC,"£160,000"
,Riyad Mahrez ,Midfielder,MCFC,"£160,000"
,Kyle Walker ,Defender,MCFC,"£160,000"
43,Enzo Fernández ,Midfielder,CFC,"£157,500"
44,Oleksandr Zinchenko ,Midfielder,AFC,"£150,000"
,Boubacar Kamara ,Midfielder,AVFC,"£150,000"
,Kepa Arrizabalaga ,Goalkeeper,CFC,"£150,000"
,Kai Havertz ,Midfielder,CFC,"£150,000"
,Christian Pulisic ,Forward,CFC,"£150,000"
,Alisson Becker ,Goalkeeper,LFC,"£150,000"
,Kalvin Phillips ,Midfielder,MCFC,"£150,000"
,Bernardo Silva ,Midfielder,MCFC,"£150,000"
,Christian Eriksen ,Midfielder,MUFC,"£150,000"
,Luke Shaw ,Defender,MUFC,"£150,000"
,Lucas Paquetá ,Midfielder,WHUFC,"£150,000"
55,Clément Lenglet ,Defender,THFC,"£145,000"
56,Jamie Vardy ,Forward,LC,"£140,000"
,Jordan Henderson ,Midfielder,LFC,"£140,000"
,Diogo Jota ,Forward,LFC,"£140,000"
,Darwin Núñez ,Forward,LFC,"£140,000"
,Ilkay Gundogan ,Midfielder,MCFC,"£140,000"
61,Wilfried Zaha ,Forward,CP,"£130,000"
62,Philippe Coutinho ,Midfielder,AVFC,"£125,000"
,Danny Ings ,Forward,WHUFC,"£125,000"
64,Ben White ,Defender,AFC,"£120,000"
,Granit Xhaka ,Midfielder,AFC,"£120,000"
,Emiliano Martinez ,Goalkeeper,AVFC,"£120,000"
,Ruben Loftus-Cheek ,Midfielder,CFC,"£120,000"
,Abdoulaye Doucouré ,Midfielder,EFC,"£120,000"
,Alex Iwobi ,Forward,EFC,"£120,000"
,Yerry Mina ,Defender,EFC,"£120,000"
,Naby Keita ,Midfielder,LFC,"£120,000"
